PlayerID,PlayerName,AverageRebounds,AverageAssists,AverageSteals,AveragePoints,TotalMinutes,AveragePlusMinus,Ridge_Plus_Min
585,Diana Taurasi,5.26,4.68,0.84,20.65,1042,-1.53,0.016224156
869,DeWanna Bonner,7.52,2.49,1.46,18.83,1287,6.23,0.071445836
887,Sami Whitcomb,4.84,4.19,1.96,13.09,611,5.84,0.004480585
918,Tina Charles,12.9,3.07,1.24,20.03,1160,-1.5,0.048922785
924,Alysha Clark,5.96,2.88,1.36,9.87,973,7.04,0.041327691
981,Courtney Vandersloot,4.65,8.68,1.48,11.4,705,8.4,0.02931595
1004,Sydney Colson,2.27,4.86,2.43,12.31,247,8.56,0.043841413
1054,Tiffany Hayes,5.16,3.87,1.4,17.56,713,7.63,0.011602672
1068,Nneka Ogwumike,9.43,2.93,2.3,21.08,1201,6.96,0.101359031
2284331,Emma Cannon,8,4,0,16,10,21.66,0.004854324
2490553,Brittney Griner,9.17,3.21,0.75,24.87,859,-0.41,0.018062713
2490794,Layshia Clarendon,4.55,6.47,1.8,10.9,334,-7.53,-0.001798254
2491205,Skylar Diggins-Smith,3.31,8.11,2.15,19.1,1267,7.01,0.092008469
2491214,Erica Wheeler,3.88,5.05,1.24,10.38,547,-3.74,-0.034382919
2529047,Odyssey Sims,2.91,7.24,1.6,17.21,702,-7.72,0.020338055
2529122,Chelsea Gray,4.5,7.52,1.94,13.28,702,7.97,0.068954371
2529130,Natasha Howard,8.81,3.78,1.65,22.95,826,-9.25,-0.028279282
2529137,Natasha Cloud,4.85,8.28,1.7,13.78,1271,-7.22,0.003421442
2529140,Alyssa Thomas,10.41,9.79,1.92,13.07,1295,5.32,0.037080775
2529183,Stefanie Dolson,7.63,4.03,0.83,14.66,1012,-3.25,-0.0232349
2529205,Kayla McBride,3.19,4.06,1.53,18.78,1280,10.16,0.087237792
2529458,Cheyenne Parker-Tyus,9.82,3,1.7,18.74,493,-9.03,-0.035941751
2529622,Kayla Thornton,5.07,1.39,1.39,11.37,837,3.87,0.014124445
2566081,Elizabeth Williams,10.04,2.23,2.39,14.34,251,1.93,0.032181971
2566106,Dearica Hamby,10.95,4.14,2.04,20.44,1352,-11.54,-0.059554327
2566110,Julie Vanloo,2.8,7.46,0.82,12.67,928,-3.58,-0.020805376
2566186,Rachel Banham,3.61,2.72,0.95,14.29,588,-4.98,-0.020587644
2566453,Isabelle Harrison,9.61,1.84,1.36,15.95,587,-14.25,-0.100036389
2569044,Temi Fagbenle,10.02,1.93,1.06,13.49,415,-0.19,0.003443374
2590093,Kiah Stokes,10.24,1.56,1.17,3.06,719,2.62,0.032773401
2593770,Betnijah Laney-Hamilton,5.48,4.48,1.45,15.49,883,12.48,0.121738146
2955898,Damiris Dantas,8.19,2.29,0.95,16.95,210,0,0.012712087
2984741,Tiffany Mitchell,3.76,1.93,1.12,11.98,394,11.41,0.075492564
2987869,Jewell Loyd,5.33,4.33,1.67,23.4,1246,6.07,0.045112598
2987891,Courtney Williams,6.96,8.39,1.43,16.7,1092,9.27,0.074066513
2988756,Brittney Sykes,6.99,5.26,1.53,21.05,418,0.85,0.021761313
2998927,Moriah Jefferson,1.96,6.52,1.74,6.74,184,-11.07,-0.052590548
2998928,Breanna Stewart,10.45,4.29,2,25.07,1278,10.12,0.071100721
