GameID,Dallas,Indiana,LosAngeles,Minnesota,NewYork,Phoenix,Seattle,Washington,LasVegas,Connecticut,Chicago,Atlanta,ScoreDifferential
401620178,0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, -5
401620219,0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 21
401620220,0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 9
401620221,0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, -13
401620222,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 8
401620223,0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -11
401620224,0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -36
401620225,0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 7
401620226,0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0
401620227,0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11
401620228,0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7
401620229,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -9
401620230,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 3
401620231,0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, -9
401620232,0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -4
401620233,0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 11
401620234,-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
401620235,0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, -10
401620236,0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 2
401620237,0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
401620238,0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0
401620239,0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, -9
401620240,0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 3
401620241,0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5
401620242,0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 17
401620243,0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, -4
401620244,0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 19
401620245,0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 32
401620246,-1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -15
401620247,0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, -13
401620248,-1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
401620249,0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 23
401620250,0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
401620251,0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -9
401620252,0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 3
401620253,0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, -6
401620254,0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, -14
401620255,0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -15
401620256,0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
401620257,0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 4
401620258,-1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2
401620259,0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 11
401620260,0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 24
401620261,0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1
401620262,0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, -19
401620263,0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 36
401620264,-1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 11
401620265,0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 19
401620266,0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 17
401620267,0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, -13
401620268,0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 18
401620269,1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -14
401620270,0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -24
401620271,0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, -8
401620272,0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -17
401620273,0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -2
401620274,0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, -13
401620275,-1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
401620276,0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 1
401620277,0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, -7
401620278,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -9
401620279,0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 5
401620280,1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0
401620281,0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 19
401620282,0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 4
401620283,0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 17
401620284,0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, -19
401620285,0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, -14
