PlayerID, PlayerName, TotalOnCourtTime, TotalPlusMinus, AveragePlusMinus 
585,Diana Taurasi,37790.700000000004,36,2.29
869,DeWanna Bonner,47725.600000000006,129,6.49
887,Sami Whitcomb,23102.5,99,10.28
918,Tina Charles,39735.8,-99,-5.98
924,Alysha Clark,36720.99999999999,139,9.08
981,Courtney Vandersloot,23359.3,61,6.27
1004,Sydney Colson,6777.1,2,0.71
1054,Tiffany Hayes,21614.800000000003,41,4.55
1068,Nneka Ogwumike,43239.200000000004,169,9.38
2284331,Emma Cannon,554.1,5,21.66
2490553,Brittney Griner,26977.7,49,4.36
2490794,Layshia Clarendon,19176.199999999997,-65,-8.14
2491205,Skylar Diggins-Smith,46027.7,158,8.24
2491214,Erica Wheeler,23282.5,-56,-5.77
2529047,Odyssey Sims,18303.9,-95,-12.46
2529122,Chelsea Gray,17848.1,90,12.10
2529130,Natasha Howard,22651.9,-81,-8.58
2529137,Natasha Cloud,48032.5,-35,-1.75
2529140,Alyssa Thomas,48508.700000000004,128,6.33
2529183,Stefanie Dolson,38387.9,-40,-2.50
2529205,Kayla McBride,50002.200000000004,132,6.34
2529458,Cheyenne Parker-Tyus,28822.2,-103,-8.58
2529622,Kayla Thornton,31274.199999999997,22,1.69
2566081,Elizabeth Williams,14939.9,12,1.93
2566106,Dearica Hamby,50669.100000000006,-238,-11.27
2566110,Julie Vanloo,37935.9,-83,-5.25
2566186,Rachel Banham,16170.5,73,10.83
2566453,Isabelle Harrison,17659.1,-37,-5.03
2569044,Temi Fagbenle,14250.8,-19,-3.20
2590093,Kiah Stokes,28142.7,62,5.29
2593770,Betnijah Laney-Hamilton,37683.09999999999,216,13.76
2955898,Damiris Dantas,2420.0,-9,-8.93
2984741,Tiffany Mitchell,23216.0,116,11.99
2987869,Jewell Loyd,51716.9,189,8.77
2987891,Courtney Williams,40824.799999999996,51,3.00
2988756,Brittney Sykes,3003.0,21,16.78
2998927,Moriah Jefferson,3639.8,8,5.28
2998928,Breanna Stewart,51573.5,196,9.12
2998938,Kahleah Copper,48746.8,-70,-3.45
2999035,Aerial Powers,18220.4,-64,-8.43
2999101,Jonquel Jones,50066.1,268,12.85
3054590,Nia Coffey,22924.0,-103,-10.78
3056672,Mercedes Russell,20354.600000000002,17,2.00
3056730,Karlie Samuelson,29728.6,-20,-1.61
3058892,Lexie Brown,22719.8,-43,-4.54
3058893,Shatori Walker-Kimbrough,34089.2,-35,-2.46
